0.00 	4.83 	5.86 	5.11 	6.44 	9.35 	0.00 	4.46 	42.71 	30.80 	39.37 	30.39 	43.99 	50.33 	0.03 	2.61 	4.73 	0.00 	0.96 	0.00 	0.69 	1.04 	0.00 	0.08 	0.00 	0.09 	0.78 	1.05 	0.00 	0.07 
3.31 	1.30 	2.69 	6.29 	1.77 	7.66 	4.21 	3.19 	42.46 	47.20 	29.99 	33.70 	23.08 	40.59 	2.26 	1.21 	3.85 	0.21 	1.72 	5.45 	0.48 	0.14 	0.74 	0.32 	0.60 	0.13 	0.81 	0.39 	1.00 	0.15 
2.11 	3.20 	1.06 	8.02 	1.48 	1.19 	7.29 	0.00 	33.24 	35.62 	36.51 	46.26 	41.28 	41.76 	3.09 	0.16 	0.00 	1.37 	3.16 	5.52 	0.00 	0.36 	0.00 	0.00 	0.09 	0.10 	0.45 	0.41 	0.00 	0.00 
0.93 	3.57 	0.00 	2.81 	2.96 	0.22 	3.74 	1.12 	47.92 	36.14 	21.09 	33.36 	33.60 	45.69 	0.00 	0.00 	5.08 	1.46 	1.90 	4.05 	0.48 	0.00 	0.85 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.10 
0.30 	0.15 	0.44 	0.86 	0.04 	0.00 	0.02 	0.27 	2.51 	0.00 	0.03 	2.26 	3.09 	0.00 	43.92 	30.32 	43.42 	38.11 	50.56 	49.59 	2.89 	1.62 	2.30 	3.27 	3.28 	0.00 	0.48 	0.00 	0.86 	0.00 
1.36 	0.00 	0.26 	0.13 	0.00 	0.00 	0.00 	0.00 	1.83 	0.02 	2.61 	1.21 	0.16 	0.00 	48.68 	50.22 	47.99 	58.87 	50.70 	47.97 	0.00 	1.50 	2.31 	3.16 	0.00 	0.00 	0.00 	0.00 	0.00 	1.08 
0.09 	0.00 	0.36 	0.00 	0.85 	0.46 	0.70 	0.00 	5.81 	3.18 	4.73 	3.85 	0.00 	5.08 	47.67 	42.95 	52.38 	46.93 	51.97 	52.36 	2.18 	0.99 	1.90 	2.66 	0.65 	0.00 	0.00 	0.28 	0.13 	0.00 
0.00 	0.37 	0.00 	0.00 	0.26 	0.13 	0.00 	0.33 	1.77 	4.06 	0.00 	0.21 	1.37 	1.46 	55.85 	48.12 	44.69 	41.66 	41.43 	48.76 	2.62 	1.80 	1.67 	2.10 	0.19 	0.00 	0.57 	0.44 	0.00 	0.51 
0.00 	0.00 	0.48 	0.36 	0.53 	0.51 	0.00 	0.00 	4.54 	2.13 	0.96 	1.72 	3.16 	1.90 	43.10 	55.61 	51.73 	34.90 	48.89 	49.24 	3.53 	1.85 	2.49 	0.00 	2.68 	0.63 	0.41 	0.79 	0.00 	0.13 
1.06 	0.00 	0.12 	0.10 	0.00 	0.19 	0.26 	0.00 	3.12 	1.60 	0.00 	5.45 	5.52 	4.05 	46.02 	52.12 	61.55 	48.42 	46.15 	45.01 	1.75 	1.41 	2.57 	1.86 	1.90 	0.00 	0.00 	0.00 	0.00 	0.54 
0.39 	0.00 	0.51 	0.00 	0.61 	0.54 	0.10 	0.00 	0.00 	1.21 	0.64 	1.00 	0.00 	0.00 	2.89 	0.00 	2.18 	2.62 	3.53 	1.75 	44.17 	49.85 	31.23 	38.45 	44.96 	2.24 	0.00 	0.00 	2.94 	1.93 
0.00 	1.03 	0.00 	0.18 	0.22 	0.19 	0.22 	0.12 	0.61 	0.43 	0.59 	1.11 	0.18 	0.65 	1.62 	1.50 	0.99 	1.80 	1.85 	1.41 	42.23 	41.69 	45.45 	42.73 	39.10 	2.56 	2.71 	2.90 	2.10 	4.68 
0.41 	0.78 	0.15 	0.00 	0.73 	0.00 	0.05 	0.53 	1.41 	0.96 	0.11 	0.00 	0.57 	0.00 	2.30 	2.31 	1.90 	1.67 	2.49 	2.57 	45.44 	53.89 	54.04 	39.12 	32.30 	0.00 	0.64 	0.00 	5.64 	1.80 
0.00 	0.00 	0.60 	0.00 	0.36 	0.09 	0.39 	0.00 	0.00 	0.00 	0.13 	0.00 	0.10 	0.82 	3.27 	3.16 	2.66 	2.10 	0.00 	1.86 	31.27 	40.79 	30.69 	38.68 	42.61 	0.00 	1.94 	1.76 	5.09 	1.51 
0.00 	0.00 	0.33 	0.23 	0.07 	0.00 	0.38 	0.00 	0.80 	0.47 	0.16 	0.28 	0.00 	0.00 	3.28 	0.00 	0.65 	0.19 	2.68 	1.90 	45.82 	48.08 	51.39 	45.82 	38.94 	0.00 	0.00 	0.00 	3.35 	2.43 
0.00 	0.46 	0.00 	0.24 	0.00 	0.00 	0.68 	0.00 	0.60 	0.04 	0.00 	0.10 	0.00 	0.35 	0.69 	0.00 	0.05 	0.00 	0.00 	0.00 	2.24 	2.56 	0.00 	0.00 	0.00 	31.57 	53.11 	55.58 	43.36 	35.35 
0.74 	0.11 	0.73 	0.00 	0.15 	0.00 	0.90 	0.00 	1.38 	0.00 	1.64 	0.00 	0.00 	0.36 	0.81 	0.00 	0.04 	0.00 	0.00 	0.46 	0.00 	2.71 	0.64 	1.94 	0.00 	50.09 	69.05 	51.17 	64.42 	71.08 
0.43 	0.00 	0.86 	0.42 	0.00 	0.00 	0.07 	0.00 	0.00 	0.00 	0.53 	0.45 	0.00 	0.30 	1.68 	0.37 	0.06 	0.00 	0.67 	0.00 	0.00 	2.90 	0.00 	1.76 	0.00 	56.66 	50.78 	44.89 	57.42 	39.44 
0.00 	0.00 	0.46 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.22 	0.85 	0.00 	0.32 	0.93 	0.00 	0.24 	0.74 	0.00 	1.12 	0.59 	2.94 	2.10 	5.64 	5.09 	3.35 	62.68 	39.30 	51.72 	65.77 	63.85 
0.00 	0.65 	0.00 	0.60 	0.00 	0.36 	0.71 	0.45 	0.13 	0.00 	0.42 	0.49 	0.00 	0.29 	0.00 	0.00 	0.18 	0.57 	0.70 	0.06 	1.93 	4.68 	1.80 	1.51 	2.43 	66.12 	50.40 	49.44 	53.40 	49.17 
